Channel Link,Channel Name,Channel Icon,Affinity Index,Power of Influence,Views,Users,Age,Gender
https://www.youtube.com/channel/UCuNQGkmegk9aPf9bkLpwcpw,شاهد اليوم,https://yt3.ggpht.com/ytc/AKedOLSMv6zcsI0wT7pJ0LPfsoVddlM2g_Gq_f0-_p8g_w=s88-c-k-c0x00ffffff-no-rj,89,63,160000,80000,"25-34 : 23.5%
18-24 : 21.2%
Unknown : 7.3%
55-64 : 13.4%
35-44 : 14.5%
65+ : 7.3%
45-54 : 12.8%","Unknown : 5.0%
Female : 39.7%
Male : 55.3%"
https://www.youtube.com/channel/UCLRSTvs21afBn3xrEjKK0-Q,البورصة - elborsa,https://yt3.ggpht.com/ornLbgaosKEQqd6siWMnKW5ZLmCt-L7N5es1dmhi7FGIfTBAtWGAd07Ve3lxsQZR1cZBL3Tw=s88-c-k-c0x00ffffff-no-rj,80,43,120000,68000,"25-34 : 21.1%
18-24 : 18.3%
Unknown : 10.6%
55-64 : 12.7%
35-44 : 16.2%
65+ : 7.0%
45-54 : 14.1%","Unknown : 7.7%
Female : 36.6%
Male : 55.6%"
https://www.youtube.com/channel/UCpp_36ZhJy1JSXgZIPccTpA,شاهد مصر اليوم,https://yt3.ggpht.com/ytc/AKedOLRbVVPjL66yLQnDr6vILGyDpPz3ZO7_qlo9S79f=s88-c-k-c0x00ffffff-no-rj,78,33,94000,55000,"25-34 : 27.1%
18-24 : 20.6%
Unknown : 5.6%
55-64 : 13.1%
35-44 : 15.9%
65+ : 3.7%
45-54 : 14.0%","Unknown : 5.6%
Female : 34.6%
Male : 59.8%"
https://www.youtube.com/channel/UCix36PDg1vY6l1Dw1EHMRRQ,دواجن أبو أدهم,https://yt3.ggpht.com/ytc/AKedOLT55T9XwTOzKZfAnihBTJiCFZ0yP7E3oKFQnoy64Q=s88-c-k-c0x00ffffff-no-rj,75,32,120000,57000,"25-34 : 18.1%
18-24 : 21.3%
Unknown : 9.0%
55-64 : 12.3%
35-44 : 16.8%
65+ : 8.4%
45-54 : 14.2%","Unknown : 6.5%
Female : 36.1%
Male : 57.4%"
https://www.youtube.com/channel/UC4kRorAXuIkyIX6vwXKaLWg,المخبر الاقتصادي - Mokhbir Eqtisadi,https://yt3.ggpht.com/1WyjGoSd5LWXH2tfhUI9a9YupM5XFbzR-ySeeyWMhpJ4QhGae_CI2haD4EqL5vn3DX_9iob7AhQ=s88-c-k-c0x00ffffff-no-rj,70,28,91000,58000,"25-34 : 40.8%
18-24 : 23.3%
Unknown : 10.0%
55-64 : 2.5%
35-44 : 17.5%
45-54 : 5.8%","Unknown : 10.0%
Male : 90.0%"
https://www.youtube.com/channel/UCHuPPNr-pHYNfFEnHP24wZQ,Alfayda - الفايدة,https://yt3.ggpht.com/ytc/AKedOLToGz8ebgpVMVVptQkYemncCcGFaQuUWjWvUue9=s88-c-k-c0x00ffffff-no-rj,81,14,43000,22000,"25-34 : 40.0%
18-24 : 17.1%
55-64 : 8.6%
35-44 : 25.7%
45-54 : 8.6%","Female : 8.6%
Male : 91.4%"
https://www.youtube.com/channel/UCT5c-EOg0rytwAozh1C2mnA,سعر الذهب اليوم gold price today,https://yt3.ggpht.com/ITjbgkrfKxZSmg3xLKNtL4k51uHldjdOOdjbnGv45EMmFDu2LWJSi96Kf3-7tBu2lGjAR4qb=s88-c-k-c0x00ffffff-no-rj,86,14,36000,19000,"25-34 : 28.6%
18-24 : 19.0%
Unknown : 38.1%
35-44 : 14.3%","Unknown : 38.1%
Male : 61.9%"
https://www.youtube.com/channel/UC6Xa9qxwYdLxV8hnV-3sVVQ,The Banker المصرفي,https://yt3.ggpht.com/R3qAwAhh5c0pifyWyHysX-h3WbizkHD1nzu0LAnNqC4C432XhSYxdO1GDJ0Rb5AclQ8qd_NTOg=s88-c-k-c0x00ffffff-no-rj,73,13,51000,26000,"25-34 : 22.8%
18-24 : 10.5%
Unknown : 5.3%
55-64 : 12.3%
35-44 : 26.3%
65+ : 7.0%
45-54 : 15.8%","Unknown : 5.3%
Female : 5.3%
Male : 89.5%"
https://www.youtube.com/channel/UCUNaZXxeeigTCFfyS4cLiOA,وثائقي من الواقع,https://yt3.ggpht.com/8voLKRCgNhq2rz2dFExB-9fV04e4zuGWxP1L_zpZ6h5iS9NZ-QqGNgnaedtFE6fpj1MqXGbG=s88-c-k-c0x00ffffff-no-rj,75,13,49000,24000,"25-34 : 21.6%
18-24 : 25.5%
55-64 : 9.8%
35-44 : 15.7%
65+ : 11.8%
45-54 : 15.7%","Female : 31.4%
Male : 68.6%"
https://www.youtube.com/channel/UCv3gCNCr3tn_-oN-MsqzCbA,اخبار مصر النهاردة,https://yt3.ggpht.com/ytc/AKedOLRSu4-Dqbb_NimUkJV3bLMYTB26uJfh0e07d9wE3g=s88-c-k-c0x00ffffff-no-rj,78,13,32000,22000,"25-34 : 47.6%
18-24 : 23.8%
35-44 : 28.6%","Female : 28.6%
Male : 71.4%"
https://www.youtube.com/channel/UCaWBqUhf4uuiBpXLXFlINTw,اخبار سوق العبور,https://yt3.ggpht.com/6DhTmdhx9rTx2AQKq3SGPBb1sI3Bbok4DmqStYsP1bQvtvONuUxxQZlaq_YHq_1ooyXGZdzq=s88-c-k-c0x00ffffff-no-rj,84,12,43000,18000,"25-34 : 24.2%
18-24 : 15.2%
55-64 : 21.2%
35-44 : 12.1%
65+ : 9.1%
45-54 : 18.2%","Female : 18.2%
Male : 81.8%"
