Channel Link,Channel Name,Channel Icon,Affinity Index,Power of Influence,Views,Users,Age,Gender
https://www.youtube.com/channel/UCuNQGkmegk9aPf9bkLpwcpw,شاهد اليوم,https://yt3.ggpht.com/ytc/AKedOLSMv6zcsI0wT7pJ0LPfsoVddlM2g_Gq_f0-_p8g_w=s88-c-k-c0x00ffffff-no-rj,83,89,290000,130000,"25-34 : 24.7%
18-24 : 20.0%
Unknown : 7.1%
55-64 : 12.9%
35-44 : 16.5%
65+ : 6.5%
45-54 : 12.4%","Unknown : 3.2%
Female : 39.7%
Male : 57.1%"
https://www.youtube.com/channel/UCpp_36ZhJy1JSXgZIPccTpA,شاهد مصر اليوم,https://yt3.ggpht.com/ytc/AKedOLRbVVPjL66yLQnDr6vILGyDpPz3ZO7_qlo9S79f=s88-c-k-c0x00ffffff-no-rj,86,71,180000,97000,"25-34 : 22.8%
18-24 : 16.5%
Unknown : 8.7%
55-64 : 14.1%
35-44 : 17.0%
65+ : 6.8%
45-54 : 14.1%","Unknown : 6.8%
Female : 35.9%
Male : 57.3%"
https://www.youtube.com/channel/UCix36PDg1vY6l1Dw1EHMRRQ,دواجن أبو أدهم,https://yt3.ggpht.com/ytc/AKedOLT55T9XwTOzKZfAnihBTJiCFZ0yP7E3oKFQnoy64Q=s88-c-k-c0x00ffffff-no-rj,90,60,180000,75000,"25-34 : 19.3%
18-24 : 20.8%
Unknown : 11.2%
55-64 : 12.2%
35-44 : 16.8%
65+ : 5.6%
45-54 : 14.2%","Unknown : 7.1%
Female : 33.5%
Male : 59.4%"
https://www.youtube.com/channel/UCLRSTvs21afBn3xrEjKK0-Q,البورصة - elborsa,https://yt3.ggpht.com/ornLbgaosKEQqd6siWMnKW5ZLmCt-L7N5es1dmhi7FGIfTBAtWGAd07Ve3lxsQZR1cZBL3Tw=s88-c-k-c0x00ffffff-no-rj,78,51,140000,84000,"25-34 : 23.5%
18-24 : 17.3%
Unknown : 10.6%
55-64 : 14.0%
35-44 : 16.2%
65+ : 6.1%
45-54 : 12.3%","Unknown : 7.8%
Female : 34.1%
Male : 58.1%"
https://www.youtube.com/channel/UCv3gCNCr3tn_-oN-MsqzCbA,اخبار مصر النهاردة,https://yt3.ggpht.com/ytc/AKedOLRSu4-Dqbb_NimUkJV3bLMYTB26uJfh0e07d9wE3g=s88-c-k-c0x00ffffff-no-rj,86,31,67000,42000,"25-34 : 30.8%
18-24 : 20.0%
Unknown : 4.6%
55-64 : 10.8%
35-44 : 18.5%
45-54 : 15.4%","Unknown : 4.6%
Female : 38.5%
Male : 56.9%"
https://www.youtube.com/channel/UCegqXMgQA12ZF_G2BQFTjqw,خمسينة اقتصاد,https://yt3.ggpht.com/ytc/AKedOLQpclI3U5_IGY8YI_zEJ81hfmYorfDk3g2jcjgV=s88-c-k-c0x00ffffff-no-rj,84,19,92000,27000,"25-34 : 24.0%
18-24 : 13.5%
Unknown : 5.8%
55-64 : 13.5%
35-44 : 16.3%
65+ : 10.6%
45-54 : 16.3%","Unknown : 5.8%
Male : 94.2%"
https://www.youtube.com/channel/UCHuPPNr-pHYNfFEnHP24wZQ,Alfayda - الفايدة,https://yt3.ggpht.com/ytc/AKedOLToGz8ebgpVMVVptQkYemncCcGFaQuUWjWvUue9=s88-c-k-c0x00ffffff-no-rj,67,18,80000,41000,"25-34 : 26.7%
18-24 : 14.7%
Unknown : 3.4%
55-64 : 10.3%
35-44 : 25.9%
65+ : 3.4%
45-54 : 15.5%","Unknown : 3.4%
Female : 24.1%
Male : 72.4%"
https://www.youtube.com/channel/UC4kRorAXuIkyIX6vwXKaLWg,المخبر الاقتصادي - Mokhbir Eqtisadi,https://yt3.ggpht.com/1WyjGoSd5LWXH2tfhUI9a9YupM5XFbzR-ySeeyWMhpJ4QhGae_CI2haD4EqL5vn3DX_9iob7AhQ=s88-c-k-c0x00ffffff-no-rj,66,17,66000,40000,"25-34 : 43.5%
18-24 : 26.1%
Unknown : 5.4%
35-44 : 19.6%
45-54 : 5.4%","Unknown : 5.4%
Male : 94.6%"
https://www.youtube.com/channel/UCwdrdnwh9VndG806fDwiUQQ,عائلة محمد حسين,https://yt3.ggpht.com/6F_N4cwi3M1Pp42JNQ6c5LBF6B2aGowBDiTZHA3dIZD0m9dQeomgV_J3udsiS2JKbJVejAtLbQ=s88-c-k-c0x00ffffff-no-rj,100,17,28000,17000,"55-64 : 37.5%
65+ : 62.5%",Male : 100.0%
https://www.youtube.com/channel/UCdU1djIojpa643LjcHjJmJA,نور شرف tv,https://yt3.ggpht.com/ytc/AKedOLT9dZ0WJdSU93lVhO1ql1CbFcjiLxbT8JqKI8WK=s88-c-k-c0x00ffffff-no-rj,88,16,88000,21000,"25-34 : 20.9%
18-24 : 17.6%
55-64 : 17.6%
35-44 : 17.6%
65+ : 5.5%
45-54 : 20.9%","Female : 67.0%
Male : 33.0%"
https://www.youtube.com/channel/UCKPYSLKTocfLMNWWS5TYPaA,صدقه جاريه للمشتركين فى القناه,https://yt3.ggpht.com/ytc/AKedOLSvktLDU_lEnEubJXwdNKgOGooqaZ9jyQyrJgjx=s88-c-k-c0x00ffffff-no-rj,85,15,40000,22000,"25-34 : 36.7%
18-24 : 13.3%
55-64 : 20.0%
35-44 : 20.0%
45-54 : 10.0%","Female : 43.3%
Male : 56.7%"
https://www.youtube.com/channel/UCT5c-EOg0rytwAozh1C2mnA,سعر الذهب اليوم gold price today,https://yt3.ggpht.com/ITjbgkrfKxZSmg3xLKNtL4k51uHldjdOOdjbnGv45EMmFDu2LWJSi96Kf3-7tBu2lGjAR4qb=s88-c-k-c0x00ffffff-no-rj,67,15,51000,34000,"25-34 : 27.6%
18-24 : 19.0%
Unknown : 25.9%
35-44 : 20.7%
45-54 : 6.9%","Unknown : 25.9%
Female : 19.0%
Male : 55.2%"
https://www.youtube.com/channel/UCdOIvTbQRPClCMCKwbGjHlA,إلعب واحكي مع حسام,https://yt3.ggpht.com/ytc/AKedOLSolGI1HrKOANSooGI4oCdhV7r498YBrPUVO3gV=s88-c-k-c0x00ffffff-no-rj,80,15,36000,24000,"25-34 : 40.0%
18-24 : 25.0%
55-64 : 20.0%
35-44 : 15.0%",Male : 100.0%
https://www.youtube.com/channel/UCIK103_wR0f1lIQ94HITpvg,حول العالم مع عماد,https://yt3.ggpht.com/ytc/AKedOLT7nOiluUrdE1lPx1oC8ixfB5FhbiRAImVCGEVe=s88-c-k-c0x00ffffff-no-rj,100,13,22000,13000,25-34 : 100.0%,Male : 100.0%
https://www.youtube.com/channel/UC28HEwn3U1DdKDQZhtdY7IA,الاولي للدواجن,https://yt3.ggpht.com/2zaVA3x5Cq7RnNk2-rc1i2n5inhBKwmyRMgCGhN57J_XFnHO2-OGA4vLKpIXqZyz8uM1MpOzkAA=s88-c-k-c0x00ffffff-no-rj,90,12,27000,15000,"25-34 : 50.0%
18-24 : 50.0%",Male : 100.0%
https://www.youtube.com/channel/UCD2AlXfhCJvsVblkY-qaTTw,Ramez wagdy - رامز وجدي,https://yt3.ggpht.com/ytc/AKedOLQXM5L0L2u5wn01wPKCcOPW9eBmoBd4oEDXsnhkug=s88-c-k-c0x00ffffff-no-rj,68,10,49000,22000,"25-34 : 22.8%
18-24 : 47.4%
Unknown : 17.5%
35-44 : 12.3%","Female : 7.0%
Male : 93.0%"
https://www.youtube.com/channel/UCGAAaYL7OrUmK3Ju6F_R5CA,مسيو حسام,https://yt3.ggpht.com/ytc/AKedOLR1mriSFzvBnwenoFBYYOJk_NXysSKwg4DDOXgy=s88-c-k-c0x00ffffff-no-rj,72,10,38000,21000,"25-34 : 37.9%
18-24 : 31.0%
35-44 : 20.7%
45-54 : 10.3%","Female : 13.8%
Male : 86.2%"
https://www.youtube.com/channel/UCRTOzIT9cORkRSV_UdMPyiQ,Tommy,https://yt3.ggpht.com/vmaglxJmfn1rssqglrO2J1yqPryqHVHbI1FMACl_P9bExQm41dDGCaD7BkFogQ2fgtnnWv9Y=s88-c-k-c0x00ffffff-no-rj,62,8,23000,22000,"25-34 : 41.7%
18-24 : 58.3%","Female : 41.7%
Male : 58.3%"
https://www.youtube.com/channel/UCUNaZXxeeigTCFfyS4cLiOA,وثائقي من الواقع,https://yt3.ggpht.com/8voLKRCgNhq2rz2dFExB-9fV04e4zuGWxP1L_zpZ6h5iS9NZ-QqGNgnaedtFE6fpj1MqXGbG=s88-c-k-c0x00ffffff-no-rj,97,8,32000,9000,"18-24 : 23.5%
55-64 : 17.6%
65+ : 23.5%
45-54 : 35.3%",Male : 100.0%
https://www.youtube.com/channel/UChspzAgJx-qPczZtQEAHMTA,منوعات MIX,https://yt3.ggpht.com/ytc/AKedOLRt6mdMF3b6XJcRQqvABroSFLVs_a5BlDu0752v=s88-c-k-c0x00ffffff-no-rj,67,8,26000,18000,"25-34 : 22.7%
18-24 : 18.2%
55-64 : 13.6%
35-44 : 13.6%
65+ : 13.6%
45-54 : 18.2%",Male : 100.0%
https://www.youtube.com/channel/UC_i68tipo4IpVBsS_x6eDMQ,Crypto Miki,https://yt3.ggpht.com/RNTQ7nnpUU5nNSu6W-PhlZwY6MJSlNvZBe-Yft1h4TnxEdLRSS3XKp4y0_blZXSnO0agd9zu=s88-c-k-c0x00ffffff-no-rj,100,7,11000,7000,Unknown : 100.0%,Unknown : 100.0%
https://www.youtube.com/channel/UCdwVvmuGI0lQ4Ig41mX_LAg,اسعار الذهب,https://yt3.ggpht.com/ytc/AKedOLQX14xSQXlXftoAd8rLzX-AJxqHqei1bhXPXRJtJQ=s88-c-k-c0x00ffffff-no-rj,94,7,15000,9000,,
